year,oxygen
1938,31.4
1939,31.3
1940,31.6
1941,30.1
1942,31
1943,33.6
1944,31.9
1945,31.5
1946,33.1
1947,33.5
1948,31.6
1949,30.6
1950,31.2
1951,31.8
1952,31.7
1953,30.4
1954,31.4
1955,28
1956,32.9
1957,28.8
1958,30.6
1959,32.2
1960,31.2
1961,30.9
1962,32.9
1963,30.8
1964,30.7
1965,30.2
1966,30.8
1967,31
1968,30.4
1969,31.9
1970,30
1971,34.1
1972,34.1
1973,31.1
1974,32.3
1975,31.7
1976,31.9
1977,30.3
1978,32.4
1979,29.7
1980,31.8
1981,31.7
1982,31.6
1983,30.8
1984,29.7
1985,30
1986,28.7
1987,26.6
1988,29.7
1989,31.2
1990,29.9
1991,29.7
1992,30.5
1993,30.6
1994,31.3
1995,30.7
1996,33.6
1997,31.6
1998,31.7
1999,31.1
2000,33
2001,33.1
2002,33
2003,32.7
2004,33.7
2005,32.7
2006,32.4
2007,32.3
2008,30.8
2009,31.7
2010,29.6
2011,28.5
