"","year","adj.c.fir","adj.c.spruce","adj.c.asp"
"1",1938,-23.45824593,NA,NA
"2",1939,-23.00532547,NA,NA
"3",1940,-23.22138552,NA,NA
"4",1941,-23.13060631,NA,NA
"5",1942,-22.19496979,NA,NA
"6",1943,-22.91987671,NA,NA
"7",1944,-23.27548706,NA,NA
"8",1945,-23.04143191,NA,NA
"9",1946,-22.27604065,NA,NA
"10",1947,-21.69263039,NA,NA
"11",1948,-22.34304245,NA,NA
"12",1949,-22.76876648,NA,NA
"13",1950,-22.80538808,NA,-22.04
"14",1951,-22.12520462,NA,-21.24
"15",1952,-22.57973724,NA,-22.24
"16",1953,-22.1698027,NA,-22.13
"17",1954,-22.07271866,NA,-21.43
"18",1955,-22.17394534,NA,-22.52
"19",1956,-22.53063156,NA,-22.32
"20",1957,-23.07636642,NA,-23.21
"21",1958,-23.06555176,NA,-21.41
"22",1959,-23.35812424,NA,-22.3
"23",1960,-22.957267,NA,-21.9
"24",1961,-23.02299736,NA,-21.6
"25",1962,-23.21403069,NA,-21.08
"26",1963,-23.00517166,NA,-22.95
"27",1964,-23.18626816,NA,-23.22
"28",1965,-23.48757599,NA,-22.59
"29",1966,-23.50772926,NA,-22.77
"30",1967,-22.79745308,NA,-21.84
"31",1968,-23.03975258,NA,-22.61
"32",1969,-22.92061523,NA,-23.18
"33",1970,-23.01452983,NA,-20.95
"34",1971,-22.15003914,NA,-21.53
"35",1972,-22.47155273,NA,-21.8
"36",1973,-23.18111641,NA,-22.47
"37",1974,-21.51167465,NA,-21.94
"38",1975,-20.92035645,NA,-22.41
"39",1976,-20.88738884,NA,-22.08
"40",1977,-21.62371025,NA,-21.96
"41",1978,-20.82912926,NA,-22.53
"42",1979,-21.08736366,NA,-22.7
"43",1980,-20.72808558,-19.17,-22.87
"44",1981,-21.21186096,-20.04,-22.74
"45",1982,-20.86486557,-20.02,-22.82
"46",1983,-20.63549683,-20.79,-23.09
"47",1984,-20.63771454,-20.46,-21.96
"48",1985,-20.5467966,-20.83,-22.43
"49",1986,-19.91177849,-21.2,-21.6
"50",1987,-20.06860542,-21.08,-21.98
"51",1988,-21.28510612,-21.25,-22.15
"52",1989,-20.19765556,-19.62,-21.12
"53",1990,-21.10041857,-19.69,-22.89
"54",1991,-21.79995895,-20.56,-22.56
"55",1992,-21.26048393,-20.23,-22.13
"56",1993,-19.80749718,-18.91,-21.11
"57",1994,-20.03678474,-19.18,-21.18
"58",1995,-20.95019903,-19.55,-21.45
"59",1996,-19.50376556,-18.02,-21.12
"60",1997,-21.43664734,-19.19,-22.79
"61",1998,-21.7096833,-19.37,-23.17
"62",1999,-22.15301163,-20.04,-23.04
"63",2000,-20.20390442,-18.11,-18.91
"64",2001,-20.25225563,-18.48,-19.68
"65",2002,-18.55842079,-16.75,-19.35
"66",2003,-19.29432068,-17.43,-19.83
"67",2004,-19.95165756,-17.595,-20.695
"68",2005,-20.31745529,-18.27,-20.07
"69",2006,-19.35229698,-18.135,-20.035
"70",2007,-19.6029409,-19.01,-19.41
"71",2008,-19.56057434,-19.28,-21.58
"72",2009,-19.22884253,-19.65142857,-21.15142857
"73",2010,-19.57712789,-20.0225,-22.2225
"74",2011,-19.12057473,-18.59357143,-19.39357143
