"","year","o.fir","o.spruce","o.pine"
"1938",1938,31.4,NA,NA
"1939",1939,31.3,NA,NA
"1940",1940,31.6,NA,NA
"1941",1941,30.1,NA,NA
"1942",1942,31,NA,NA
"1943",1943,33.6,NA,NA
"1944",1944,31.9,NA,NA
"1945",1945,31.5,NA,NA
"1946",1946,33.1,NA,NA
"1947",1947,33.5,NA,NA
"1948",1948,31.6,NA,NA
"1949",1949,30.6,NA,NA
"1950",1950,31.2,NA,NA
"1951",1951,31.8,NA,NA
"1952",1952,31.7,NA,NA
"1953",1953,30.4,NA,NA
"1954",1954,31.4,NA,NA
"1955",1955,28,NA,NA
"1956",1956,32.9,NA,NA
"1957",1957,28.8,NA,NA
"1958",1958,30.6,NA,NA
"1959",1959,32.2,NA,NA
"1960",1960,31.2,NA,35.6
"1961",1961,30.9,NA,34.6
"1962",1962,32.9,NA,36.4
"1963",1963,30.8,NA,35.4
"1964",1964,30.7,NA,31.4
"1965",1965,30.2,NA,30
"1966",1966,30.8,NA,30.9
"1967",1967,31,NA,30.9
"1968",1968,30.4,NA,29.9
"1969",1969,31.9,NA,31.6
"1970",1970,30,NA,31.8
"1971",1971,34.1,NA,35.3
"1972",1972,34.1,NA,34.2
"1973",1973,31.1,NA,35
"1974",1974,32.3,NA,34.9
"1975",1975,31.7,NA,35
"1976",1976,31.9,NA,33.7
"1977",1977,30.3,NA,33.4
"1978",1978,32.4,NA,33.8
"1979",1979,29.7,NA,32.3
"1980",1980,31.8,NA,33.7
"1981",1981,31.7,33.34200075,33.9
"1982",1982,31.6,31.58455415,33.1
"1983",1983,30.8,31.83767585,33.8
"1984",1984,29.7,32.64025685,33
"1985",1985,30,31.6489181,31.9
"1986",1986,28.7,30.3570168,32
"1987",1987,26.6,30.7706547,33.3
"1988",1988,29.7,31.04538435,32.8
"1989",1989,31.2,34.59526185,32.1
"1990",1990,29.9,31.7622276,32.9
"1991",1991,29.7,31.8325311,31.8
"1992",1992,30.5,31.97761305,32
"1993",1993,30.6,32.61556205,31.2
"1994",1994,31.3,33.53132755,33.6
"1995",1995,30.7,33.07158957,33.1
"1996",1996,33.6,33.8533889,34.2
"1997",1997,31.6,32.91807335,35.2
"1998",1998,31.7,33.39344825,34.2
"1999",1999,31.1,31.7563888,32.6
"2000",2000,33,32.59596703,33.1
"2001",2001,33.1,34.2505636,34.3
"2002",2002,33,33.69595955,33.3
"2003",2003,32.7,32.24719795,34.2
"2004",2004,33.7,34.5839434,35.1
"2005",2005,32.7,32.37324003,34.4
"2006",2006,32.4,31.3345193,33.6
"2007",2007,32.3,31.35201145,34.4
"2008",2008,30.8,29.94646575,34
"2009",2009,31.7,32.32004835,35.3
"2010",2010,29.6,30.87744037,33.7
"2011",2011,28.5,31.851669,36
