year,sd.swe,sd.swe.diff,vl.swe,vl.swe.diff
1980,14.6,,,
1981,8.7,-5.9,,
1982,11.8,3.1,,
1983,20.5,8.7,,
1984,11.3,-9.2,,
1985,11.4,0.1,,
1986,3.4,-8,,
1987,10.3,6.9,,
1988,10.1,-0.2,,
1989,1.4,-8.7,,
1990,4.3,2.9,,
1991,13.6,9.3,,
1992,17.2,3.6,,
1993,14.5,-2.7,,
1994,5.7,-8.8,,
1995,10.3,4.6,,
1996,0.1,-10.2,,
1997,8.7,8.6,,
1998,10.7,2,,
1999,0,-10.7,,
2000,6.9,6.9,,
2001,8.8,1.9,,
2002,0,-8.8,0,
2003,7.2,7.2,11.6,11.6
2004,2,-5.2,3.1,-8.5
2005,12.3,10.3,17.2,14.1
2006,0.9,-11.4,1.4,-15.8
2007,5.3,4.4,5.7,4.3
2008,7.9,2.6,9.6,3.9
2009,3.2,-4.7,4.4,-5.2
2010,10.7,7.5,12.3,7.9
2011,0.2,-10.5,0,-12.3
