year,vlf.count,vuf.count
2011,81,80
2010,82,80
2009,82,80
2008,83,80
2007,83,80
2006,83,80
2005,83,80
2004,83,80
2003,83,80
2002,83,80
2001,83,80
2000,83,80
1999,83,80
1998,83,80
1997,83,80
1996,83,80
1995,83,80
1994,83,80
1993,83,80
1992,83,80
1991,83,80
1990,83,80
1989,83,80
1988,83,80
1987,83,80
1986,83,80
1985,83,80
1984,83,80
1983,83,79
1982,83,79
1981,83,79
1980,83,79
1979,83,77
1978,83,77
1977,83,77
1976,83,77
1975,82,77
1974,82,77
1973,82,76
1972,82,76
1971,82,75
1970,82,75
1969,82,75
1968,82,74
1967,82,73
1966,81,72
1965,81,72
1964,81,71
1963,80,71
1962,77,71
1961,76,71
1960,76,71
1959,74,69
1958,71,69
1957,71,68
1956,71,67
1955,67,66
1954,65,66
1953,64,64
1952,60,63
1951,56,63
1950,53,61
1949,48,59
1948,43,58
1947,38,58
1946,33,57
1945,27,55
1944,25,52
1943,22,51
1942,19,48
1941,19,44
1940,15,42
1939,14,40
1938,14,39
1937,11,34
1936,9,27
1935,7,20
1934,2,17
1933,1,12
1932,1,9
1931,1,8
1930,1,6
1929,1,5
1928,,5
1927,,5
1926,,4
1925,,4
1924,,3
1923,,1
,,
,,
,,
,,
,,
,,
