year,oxygen
1960,35.6
1961,34.6
1962,36.4
1963,35.4
1964,31.4
1965,30
1966,30.9
1967,30.9
1968,29.9
1969,31.6
1970,31.8
1971,35.3
1972,34.2
1973,35
1974,34.9
1975,35
1976,33.7
1977,33.4
1978,33.8
1979,32.3
1980,33.7
1981,33.9
1982,33.1
1983,33.8
1984,33
1985,31.9
1986,32
1987,33.3
1988,32.8
1989,32.1
1990,32.9
1991,31.8
1992,32
1993,31.2
1994,33.6
1995,33.1
1996,34.2
1997,35.2
1998,34.2
1999,32.6
2000,33.1
2001,34.3
2002,33.3
2003,34.2
2004,35.1
2005,34.4
2006,33.6
2007,34.4
2008,34
2009,35.3
2010,33.7
2011,36
