ID,dbh
VLF001,22.9
VLF002,12.1
VLF003,15.9
VLF004,24.8
VLF005,21.2
VLF006,13.2
VLF007,26.7
VLF008,21.1
VLF009,28.1
VLF010,21.7
VLF011,28.9
VLF012,26.0
VLF013,15.5
VLF014,20.4
VLF015,23.6
VLF016,27.4
VLF017,19.0
VLF018,31.9
VLF019,20.9
VLF020,19.5
VLF021,14.2
VLF022,26.3
VLF023,19.0
VLF024,10.2
VLF025,34.0
VLF051,24.3
VLF052,29.1
VLF053,20.4
VLF054,10.8
VLF055,10.7
VLF056,16.5
VLF057,32.0
VLF058,22.3
VLF059,25.2
VLF060,16.5
VLF061,34.0
VLF062,18.4
VLF063,10.2
VLF064,30.1
VLF065,19.4
VLF066,17.5
VLF067,24.3
VLF068,14.1
VLF069,21.4
VLF070,14.5
VLF071,11.2
VLF072,31.0
VLF073,11.7
VLF074,27.2
VLF075,26.2
