year,D,fir,aspen,pine,spruce,adj.c.fir,adj.c.pipo,adj.c.spruce,adj.c.asp
1938,0.4,-23.85824593,,,,-23.45824593,,,
1939,0.41,-23.41532547,,,,-23.00532547,,,
1940,0.41,-23.63138552,,,,-23.22138552,,,
1941,0.42,-23.55060631,,,,-23.13060631,,,
1942,0.42,-22.61496979,,,,-22.19496979,,,
1943,0.42,-23.33987671,,,,-22.91987671,,,
1944,0.43,-23.70548706,,,,-23.27548706,,,
1945,0.43,-23.47143191,,,,-23.04143191,,,
1946,0.44,-22.71604065,,,,-22.27604065,,,
1947,0.44,-22.13263039,,,,-21.69263039,,,
1948,0.45,-22.79304245,,,,-22.34304245,,,
1949,0.45,-23.21876648,,,,-22.76876648,,,
1950,0.46,-23.26538808,-22.5,,,-22.80538808,,,-22.04
1951,0.46,-22.58520462,-21.7,,,-22.12520462,,,-21.24
1952,0.46,-23.03973724,-22.7,,,-22.57973724,,,-22.24
1953,0.47,-22.6398027,-22.6,,,-22.1698027,,,-22.13
1954,0.47,-22.54271866,-21.9,,,-22.07271866,,,-21.43
1955,0.48,-22.65394534,-23,,,-22.17394534,,,-22.52
1956,0.48,-23.01063156,-22.8,,,-22.53063156,,,-22.32
1957,0.49,-23.56636642,-23.7,,,-23.07636642,,,-23.21
1958,0.49,-23.55555176,-21.9,,,-23.06555176,,,-21.41
1959,0.5,-23.85812424,-22.8,,,-23.35812424,,,-22.3
1960,0.5,-23.457267,-22.4,-21.9,,-22.957267,-21.4,,-21.9
1961,0.5,-23.52299736,-22.1,-22.1,,-23.02299736,-21.6,,-21.6
1962,0.52,-23.73403069,-21.6,-21.1,,-23.21403069,-20.58,,-21.08
1963,0.55,-23.55517166,-23.5,-20.5,,-23.00517166,-19.95,,-22.95
1964,0.58,-23.76626816,-23.8,-22.8,,-23.18626816,-22.22,,-23.22
1965,0.61,-24.09757599,-23.2,-23.1,,-23.48757599,-22.49,,-22.59
1966,0.63,-24.13772926,-23.4,-23,,-23.50772926,-22.37,,-22.77
1967,0.66,-23.45745308,-22.5,-22.5,,-22.79745308,-21.84,,-21.84
1968,0.69,-23.72975258,-23.3,-22.9,,-23.03975258,-22.21,,-22.61
1969,0.72,-23.64061523,-23.9,-22.8,,-22.92061523,-22.08,,-23.18
1970,0.75,-23.76452983,-21.7,-22.4,,-23.01452983,-21.65,,-20.95
1971,0.77,-22.92003914,-22.3,-21.1,,-22.15003914,-20.33,,-21.53
1972,0.8,-23.27155273,-22.6,-20.8,,-22.47155273,-20,,-21.8
1973,0.83,-24.01111641,-23.3,-22.6,,-23.18111641,-21.77,,-22.47
