year,jan,feb,mar,apr,may,jun,jul,aug,sept,oct,nov,dec,annual
1981,1.669317,-9.839573,-10.67067,6.16791,-13.08965,-0.4323145,6.894122,1.396614,1.639737,-7.223714,-0.38877,-7.590086,-2.622256458
1982,-7.788441,10.19864,5.091951,-2.336256,-6.918937,-6.875929,-10.72995,3.532029,2.461499,1.533062,2.710039,-8.699491,-1.485148667
1983,-5.132945,-4.072548,-2.133525,1.987232,7.846885,6.087619,-3.762775,-1.431725,4.618816,9.731193,-3.004092,-0.8795754,0.8212133
1984,-5.317316,-7.740492,-13.47647,1.809731,8.665621,5.945891,4.802343,1.01038,3.874867,-6.203809,1.929598,8.822687,0.343585917
1985,3.626494,-2.143348,-4.835871,-4.703743,13.1814,2.126192,-1.796148,1.495529,6.974358,7.349043,-5.32483,-4.026645,0.993535917
1986,-11.3776,-9.586967,3.785393,-1.113648,0.7150998,6.183209,-1.823605,-4.52487,-11.32804,-3.448735,1.814875,8.685854,-1.834919517
1987,-6.560694,-5.149262,-2.458179,-2.113886,-0.1989741,7.745829,-6.837955,-5.683538,-10.5795,1.291652,3.541818,-2.246519,-2.437434008
1988,-4.818737,-1.832718,10.69314,-6.971755,8.996633,0.7373808,8.45931,6.044182,1.187878,0.8717286,-10.17927,2.031496,1.268272367
1989,20.18553,17.89088,1.097417,8.18643,-3.339833,3.260865,-0.5683461,0.7169206,-0.2865764,-3.516008,6.000946,10.2541,4.990193758
1990,2.491234,18.1758,13.14365,3.786366,-1.37E-02,-3.977528,1.675398,-0.1450164,-0.8122795,8.973748,-1.133181,-6.621413,2.961923482
1991,0.864128,1.471189,14.17855,8.212386,4.662969,5.894522,-5.732388,-7.754422,-5.517479,-10.45589,-10.71888,4.748182,-0.012261083
1992,9.119707,-5.622429,15.32336,-7.467838,5.598969,5.714269,-2.663368,3.776406,2.47611,0.4941636,-1.226752,2.881288,2.366990467
1993,15.72834,6.049907,7.200778,-2.520248,-0.3202081,-4.572176,1.981089,3.146541,-7.120614,-4.975323,7.805692,-3.175551,1.602352242
1994,-8.458972,9.292847,-5.445405,6.715879,-12.04925,5.08926,3.671495,1.71916,-5.149026,-2.28E-04,12.90893,12.50769,1.733531654
1995,-3.821579,-1.608921,-12.95026,-8.810843,-12.65326,-7.6098,-2.813349,7.186442,3.627314,1.653361,-8.690461,-5.757991,-4.35411225
1996,-2.759898,-8.933788,-2.732501,5.041126,-0.1996268,4.584691,4.042809,6.090955,0.3874759,5.462491,4.207206,-12.96292,0.185668342
1997,-2.056016,2.072636,12.50067,1.83984,-1.849631,-9.852186,-2.365051,-8.391405,-9.276754,-19.33089,1.807179,2.726886,-2.681226833
1998,1.402915,6.003683,11.03636,5.632095,13.49098,0.4518547,4.929563,-0.846141,-6.590338,-0.2989091,-11.63186,-5.914095,1.472175633
1999,-9.125017,-15.26594,-5.692122,-1.430133,1.480159,1.233988,6.139175,-9.077659,2.142206,-4.086182,-2.078276,-7.975887,-3.644640667
2000,9.128315,1.34527,-11.12985,-11.27094,-11.33196,6.610858,-5.326088,-2.468671,-0.9621408,5.440637,0.3167801,-4.816369,-2.038679892
2001,1.257254,-4.271548,-17.58243,3.809818,-10.23287,-5.607626,-7.152668,-2.753831,10.2523,11.54241,-1.115591,0.5865639,-1.772351508
2002,0.1356868,-0.1313435,-4.384796,2.09E-02,15.15536,3.672275,-1.737095,-4.50265,-1.265269,-7.105825,-8.707106,8.490655,-0.029931492
2003,6.569579,5.700172,8.910961,7.099267,8.410364,-1.641967,3.099117,3.32273,3.405349,1.276145,10.00244,-2.288891,4.488772167
