year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,oct.mar,apr.sept
1902,-0.141284,-0.13945,1.47E-02,0.230275,0.431192,6.33E-02,2.11E-02,2.11E-02,0.21468,0.119266,-1.19E-02,-0.12844,-0.047859267,0.163609317
1903,-0.141284,-0.13945,1.47E-02,0.230275,0.431192,6.33E-02,0.521102,-0.178898,-8.53E-02,0.119266,-1.19E-02,-0.12844,-0.047859267,0.163609233
1904,-0.141284,-0.13945,1.47E-02,0.230275,0.431192,6.33E-02,2.11E-02,2.11E-02,-8.53E-02,0.119266,-0.111927,-0.12844,-0.047859267,0.113609233
1905,-4.13E-02,-0.53945,-0.385321,-0.269725,-0.268809,0.763305,0.221103,-0.278898,-0.18532,-8.07E-02,-0.111927,-0.12844,-0.181192733,-0.003057333
1906,-0.141284,-0.13945,-8.53E-02,0.130275,0.231191,-3.67E-02,-7.89E-02,2.11E-02,-0.18532,1.93E-02,-0.211927,0.37156,-0.114525967,0.013609167
1907,-4.13E-02,-0.33945,-8.53E-02,0.230275,0.231191,-0.536695,-0.678898,0.221102,0.114679,0.719267,0.188073,0.27156,-0.047859383,-0.069724333
1908,0.158716,-0.13945,-8.53E-02,0.130275,0.231191,6.33E-02,0.121102,-7.89E-02,-8.53E-02,0.219267,0.288073,0.27156,0.185474167,0.06360915
1909,5.87E-02,-0.13945,-8.53E-02,0.130275,-6.88E-02,-0.436695,-0.378898,0.221102,0.614679,1.93E-02,0.288073,-0.12844,0.102140767,0.013609233
1910,-4.13E-02,-0.23945,-8.53E-02,-0.269725,-6.88E-02,-0.436695,0.121102,0.421103,-8.53E-02,0.219267,-0.111927,-0.22844,-0.031192717,-0.053057183
1911,-0.141284,-0.13945,0.114679,0.230275,-6.88E-02,-0.436695,-0.878898,2.11E-02,0.614679,0.119266,-1.19E-02,-0.12844,-0.047859167,-0.086390767
1912,-4.13E-02,6.06E-02,-0.185321,0.130275,0.231191,0.163304,-7.89E-02,-0.578897,-0.18532,1.93E-02,-0.411927,-0.22844,-0.0311926,-0.053057417
1913,5.87E-02,-0.13945,-0.285321,-0.269725,-0.268809,6.33E-02,-0.278897,-0.278898,1.47E-02,1.93E-02,-0.211927,-0.12844,-0.16452605,-0.169723867
1914,0.458716,-3.94E-02,0.314679,-0.169725,-6.88E-02,-0.136695,0.721103,-0.478898,-8.53E-02,0.319267,-1.19E-02,-0.12844,0.068807433,-0.036390517
1915,-0.241284,-0.23945,1.47E-02,-0.269725,0.531192,-3.67E-02,-0.678898,2.11E-02,-8.53E-02,0.919266,0.188073,0.27156,-0.0478591,-0.086390833
1916,-4.13E-02,0.26055,-0.785321,0.230275,1.03119,0.863305,-1.6789,0.321102,0.41468,-0.180733,0.288073,-0.12844,0.135473933,0.196942
1917,-0.141284,6.06E-02,1.47E-02,-0.569725,-0.468808,0.263305,0.621102,2.11E-02,-0.385321,-8.07E-02,0.188073,-2.84E-02,-0.014525733,-0.086390833
1918,0.258716,0.36055,0.314679,0.330275,-0.268809,0.763305,1.3211,0.121102,-0.18532,1.93E-02,-0.211927,-0.12844,0.168807317,0.346942167
1919,0.158716,0.46055,1.01468,0.430275,0.931192,2.1633,2.1211,-7.89E-02,0.91468,0.619266,0.288073,-0.12844,0.218807517,1.080274917
1920,0.158716,-0.33945,1.47E-02,0.230275,1.03119,0.463305,0.521102,-1.5789,0.21468,0.519266,8.81E-02,0.17156,0.102140683,0.146942
1921,-0.241284,-0.23945,-0.585321,-0.269725,-1.16881,6.33E-02,-0.178898,-0.978898,-1.08532,-8.07E-02,-0.211927,7.16E-02,-0.047859283,-0.603057683
1922,-0.141284,0.36055,-0.185321,-6.97E-02,0.731191,0.263305,0.821102,-0.978898,-0.485319,-0.880734,-0.611927,-0.22844,-0.031192683,0.0469427
1923,-0.141284,-0.43945,1.47E-02,3.03E-02,0.731191,-0.436695,0.721103,-0.478898,-0.58532,-1.58073,-1.19E-02,-2.84E-02,-0.38119265,-0.003057317
1924,0.258716,-3.94E-02,-8.53E-02,-0.469725,-6.88E-02,-0.636695,-7.89E-02,0.321102,1.47E-02,0.319267,-0.311927,0.17156,-0.247858583,-0.153057033
1925,-4.13E-02,-0.23945,-0.585321,-0.269725,-0.268809,-0.836696,-0.478898,2.11E-02,1.71468,1.93E-02,0.288073,-0.32844,-0.1145259,-0.019724333
1926,5.87E-02,-0.43945,-0.185321,-0.169725,0.731191,-0.136695,-0.578897,0.421103,1.47E-02,0.519266,0.288073,-0.22844,-0.097859383,0.046942983
1927,0.158716,-0.13945,-8.53E-02,0.430275,0.331192,1.2633,1.4211,1.6211,1.61468,0.119266,8.81E-02,0.47156,0.085474,1.113607833
1928,0.358716,0.36055,0.414679,0.430275,-0.168808,0.663304,-0.178898,1.4211,0.514681,0.219267,8.81E-02,-2.84E-02,0.302140717,0.446942333
1929,0.158716,-0.23945,1.47E-02,-0.669725,-0.268809,-0.336696,-0.378898,-0.278898,-0.18532,-1.08073,-0.611927,-0.42844,0.035474183,-0.353057667
1930,-0.241284,0.66055,0.414679,0.430275,3.12E-02,-1.0367,2.11E-02,-0.378898,-1.78532,-0.280734,-0.311927,0.17156,-0.214525333,-0.453058117
1931,5.87E-02,-0.13945,-0.485321,0.330275,0.331192,1.0633,-0.978898,-0.578897,-0.68532,1.93E-02,0.588073,0.57156,-0.164526067,-0.086391333
1932,0.258716,0.26055,1.47E-02,-0.369725,0.331192,0.563305,-0.378898,0.621102,0.614679,-0.980734,-0.211927,0.27156,0.285474033,0.230275833
1933,5.87E-02,0.36055,-0.185321,0.630275,-0.768809,0.663304,1.6211,0.921103,0.21468,-0.180733,0.188073,0.97156,-0.114526067,0.546942167
1934,-4.13E-02,0.46055,-0.485321,-0.369725,1.53119,-1.2367,1.3211,0.621102,1.11468,-0.580734,-0.611927,0.87156,0.152140767,0.496941167
1935,0.258716,0.86055,0.414679,0.730275,-0.768809,-0.536695,0.221103,1.4211,0.21468,1.61927,0.588073,-0.32844,0.202140667,0.213609
