"","tree","year","jenkins.pine","nt.piaz","nt.pine","nt.pipo","nt.vcnp","nt.pine.dom"
"1","VLF001",1923,NA,NA,NA,NA,NA,NA
"2","VLF004",1923,NA,NA,NA,NA,NA,NA
"3","VLF005",1923,NA,NA,NA,NA,NA,NA
"4","VLF007",1923,NA,NA,NA,NA,NA,NA
"5","VLF008",1923,NA,NA,NA,NA,NA,NA
"6","VLF009",1923,NA,NA,NA,NA,NA,NA
"7","VLF010",1923,NA,NA,NA,NA,NA,NA
"8","VLF011",1923,NA,NA,NA,NA,NA,NA
"9","VLF012",1923,NA,NA,NA,NA,NA,NA
"10","VLF015",1923,NA,NA,NA,NA,NA,NA
"11","VLF016",1923,NA,NA,NA,NA,NA,NA
"12","VLF017",1923,NA,NA,NA,NA,NA,NA
"13","VLF018",1923,NA,NA,NA,NA,NA,NA
"14","VLF019",1923,NA,NA,NA,NA,NA,NA
"15","VLF020",1923,NA,NA,NA,NA,NA,NA
"16","VLF021",1923,NA,NA,NA,NA,NA,NA
"17","VLF022",1923,NA,NA,NA,NA,NA,NA
"18","VLF023",1923,NA,NA,NA,NA,NA,NA
"19","VLF025",1923,NA,NA,NA,NA,NA,NA
"20","VLF051",1923,NA,NA,NA,NA,NA,NA
"21","VLF052",1923,NA,NA,NA,NA,NA,NA
"22","VLF053",1923,NA,NA,NA,NA,NA,NA
"23","VLF054",1923,NA,NA,NA,NA,NA,NA
"24","VLF055",1923,NA,NA,NA,NA,NA,NA
"25","VLF057",1923,NA,NA,NA,NA,NA,NA
"26","VLF058",1923,NA,NA,NA,NA,NA,NA
"27","VLF059",1923,NA,NA,NA,NA,NA,NA
"28","VLF061",1923,NA,NA,NA,NA,NA,NA
"29","VLF062",1923,NA,NA,NA,NA,NA,NA
"30","VLF063",1923,NA,NA,NA,NA,NA,NA
"31","VLF064",1923,NA,NA,NA,NA,NA,NA
"32","VLF065",1923,NA,NA,NA,NA,NA,NA
"33","VLF066",1923,NA,NA,NA,NA,NA,NA
"34","VLF067",1923,NA,NA,NA,NA,NA,NA
"35","VLF068",1923,NA,NA,NA,NA,NA,NA
"36","VLF069",1923,NA,NA,NA,NA,NA,NA
"37","VLF070",1923,NA,NA,NA,NA,NA,NA
"38","VLF072",1923,NA,NA,NA,NA,NA,NA
"39","VLF073",1923,NA,NA,NA,NA,NA,NA
"40","VLF074",1923,NA,NA,NA,NA,NA,NA
"41","VLF075",1923,NA,NA,NA,NA,NA,NA
"42","VLF101",1923,NA,NA,NA,NA,NA,NA
"43","VLF102",1923,NA,NA,NA,NA,NA,NA
"44","VLF104",1923,NA,NA,NA,NA,NA,NA
"45","VLF105",1923,NA,NA,NA,NA,NA,NA
"46","VLF106",1923,NA,NA,NA,NA,NA,NA
"47","VLF107",1923,NA,NA,NA,NA,NA,NA
"48","VLF108",1923,NA,NA,NA,NA,NA,NA
"49","VLF109",1923,NA,NA,NA,NA,NA,NA
"50","VLF112",1923,NA,NA,NA,NA,NA,NA
"51","VLF113",1923,NA,NA,NA,NA,NA,NA
"52","VLF114",1923,NA,NA,NA,NA,NA,NA
"53","VLF115",1923,NA,NA,NA,NA,NA,NA
"54","VLF116",1923,NA,NA,NA,NA,NA,NA
"55","VLF117",1923,NA,NA,NA,NA,NA,NA
"56","VLF118",1923,NA,NA,NA,NA,NA,NA
"57","VLF119",1923,NA,NA,NA,NA,NA,NA
"58","VLF120",1923,NA,NA,NA,NA,NA,NA
"59","VLF121",1923,NA,NA,NA,NA,NA,NA
"60","VLF122",1923,NA,NA,NA,NA,NA,NA
"61","VLF123",1923,NA,NA,NA,NA,NA,NA
"62","VLF124",1923,NA,NA,NA,NA,NA,NA
"63","VLF125",1923,NA,NA,NA,NA,NA,NA
"64","VLF126",1923,NA,NA,NA,NA,NA,NA
"65","VLF127",1923,NA,NA,NA,NA,NA,NA
"66","VLF128",1923,NA,NA,NA,NA,NA,NA
"67","VLF129",1923,NA,NA,NA,NA,NA,NA
"68","VLF130",1923,NA,NA,NA,NA,NA,NA
"69","VLF131",1923,NA,NA,NA,NA,NA,NA
"70","VLF132",1923,NA,NA,NA,NA,NA,NA
"71","VLF133",1923,NA,NA,NA,NA,NA,NA
"72","VLF134",1923,NA,NA,NA,NA,NA,NA
"73","VLF135",1923,NA,NA,NA,NA,NA,NA
"74","VLF136",1923,NA,NA,NA,NA,NA,NA
"75","VLF137",1923,NA,NA,NA,NA,NA,NA
"76","VLF138",1923,NA,NA,NA,NA,NA,NA
"77","VLF139",1923,NA,NA,NA,NA,NA,NA
"78","VLF140",1923,NA,NA,NA,NA,NA,NA
"79","VLF141",1923,NA,NA,NA,NA,NA,NA
"80","VLF142",1923,NA,NA,NA,NA,NA,NA
"81","VLF143",1923,NA,NA,NA,NA,NA,NA
"82","VLF145",1923,NA,NA,NA,NA,NA,NA
"83","VLF146",1923,NA,NA,NA,NA,NA,NA
"84","VLF147",1923,NA,NA,NA,NA,NA,NA
"85","VLF149",1923,NA,NA,NA,NA,NA,NA
"86","VLF150",1923,NA,NA,NA,NA,NA,NA
"87","VLF001",1924,NA,NA,NA,NA,NA,NA
"88","VLF004",1924,NA,NA,NA,NA,NA,NA
"89","VLF005",1924,NA,NA,NA,NA,NA,NA
"90","VLF007",1924,NA,NA,NA,NA,NA,NA
"91","VLF008",1924,NA,NA,NA,NA,NA,NA
"92","VLF009",1924,NA,NA,NA,NA,NA,NA
"93","VLF010",1924,NA,NA,NA,NA,NA,NA
"94","VLF011",1924,NA,NA,NA,NA,NA,NA
"95","VLF012",1924,NA,NA,NA,NA,NA,NA
