"","year","nt.spruce.sum","nt.spruce.sd","nt.vcnp.sum","nt.vcnp.sd","nt.mixed.con.sum","nt.mixed.con.sd"
"1",1923,88.6858517863785,13.0096112959919,77.416978910018,5.29851496171421,84.8816753679926,10.6161724709182
"2",1924,690.278009355503,105.217077955204,657.156862167953,46.5991477550486,693.996004473816,89.5586957880743
"3",1925,866.347181038032,132.101471299091,825.490403289349,58.5587370503982,871.423618800904,112.491609857565
"4",1926,882.433017522455,134.749174422508,843.59288810917,59.9267088052561,889.250447010535,114.933190167398
"5",1927,1116.32976061138,170.865401830395,1072.59409647728,76.3493110203747,1128.22874246872,146.092044185921
"6",1928,1147.25237530676,175.863677123559,1105.99896703731,78.8367389422006,1161.68807439511,150.611370027437
"7",1929,1185.37432981347,182.029585348831,1147.22845267264,81.9085167563654,1202.96476284592,156.189520783872
"8",1930,1418.9516249555,218.228625361554,1377.93354784612,98.519816309097,1442.7652561177,187.560245969847
"9",1931,1998.08023577824,308.985950679653,1964.14734743923,141.156864760552,2045.70963909515,267.159096908488
"10",1932,2612.12733348355,406.918805904139,2611.26940238374,189.042610285496,2699.63108195938,354.801446521707
"11",1933,2904.88858325822,450.491432204069,2878.63002266468,207.730300185215,2986.46452092152,391.233944953062
"12",1934,3421.29603459322,527.787661139879,3354.32781785045,241.070404931528,3495.2625971074,456.07997519927
"13",1935,3895.35531320156,601.772500653088,3831.16665831167,275.708374965035,3986.6802217525,520.816545902597
"14",1936,4536.50021996464,696.925814037666,4411.57884164016,316.112852253672,4611.96010395034,599.994451660432
"15",1937,5326.75531643927,815.001870707516,5135.91246519566,366.778379614005,5388.42813120363,698.796183461444
"16",1938,6114.38915108701,935.279264397863,5890.66395533147,420.499723502424,6182.75702055923,801.562021544856
"17",1939,6248.42649613279,956.85238462472,6034.74526360388,431.229910204737,6327.21034630596,821.045492767986
"18",1940,6520.85390913635,999.368369223975,6309.99002263102,451.289095539792,6610.05145442264,858.369248389304
"19",1941,7071.36870299033,1084.89202601462,6857.13768152565,490.802139068241,7177.12570352212,932.727063987545
"20",1942,7560.59942362285,1158.93501469915,7317.95808713842,523.401794781221,7665.4102715862,995.499730988294
"21",1943,7987.27342243099,1225.09779441121,7742.71750754921,554.168295416937,8104.71280259655,1053.15613927359
"22",1944,8287.75705462505,1271.90664848614,8046.25616592817,576.318482478126,8416.37671283849,1094.29318767911
"23",1945,8694.07257222839,1334.34482606271,8442.5800547044,604.783480993048,8829.90727821276,1148.15844173842
"24",1946,8984.31709153978,1378.72198008794,8724.74558826584,625.083002619546,9124.19843546713,1186.46157669774
"25",1947,9235.7639028131,1418.06546118796,8981.24677890972,643.878132131125,9386.45130769726,1221.2009452049
"26",1948,9404.07859023446,1445.19831275149,9162.99455612204,657.45002341408,9568.24708553116,1245.76958640321
"27",1949,9570.06701056235,1471.28086666498,9333.22875428768,669.933110943785,9742.06313626072,1268.83476145563
"28",1950,9796.39549497228,1506.12653300433,9555.57580092887,685.969587480937,9973.18301390186,1299.0251084837
"29",1951,10002.6790981032,1537.25716569647,9750.38389144027,699.814285389354,10178.935587694,1325.51328866567
"30",1952,10193.9005397936,1567.85602109321,9953.39204276112,714.872824311389,10383.4786652111,1352.98938908068
"31",1953,10369.0515682758,1596.00275104808,10140.9844031504,728.833253204699,10571.8124229929,1378.36869902379
"32",1954,10545.0423812013,1623.00945593612,10312.1323318196,741.111741160147,10750.6136009832,1401.63240890324
"33",1955,10662.6067945919,1641.9181020662,10438.3273260919,750.513140250496,10877.1750645711,1418.70198494645
"34",1956,10855.7070715986,1671.22287510307,10622.1559403588,763.600027940472,11070.853274448,1443.70437214598
"35",1957,10941.2916720907,1684.57926848807,10708.7714202145,769.922221631225,11159.7544350949,1455.44616310279
"36",1958,11027.8819468918,1698.51287142379,10801.8674995866,776.863656285368,11253.04528137,1468.03640676025
"37",1959,11278.7306222676,1737.66667758065,11054.8288204314,795.276147140121,11513.3094033723,1502.35757910936
"38",1960,11486.0134847542,1769.90873499806,11262.4075088932,810.346442534068,11727.4833538703,1530.52941213824
"39",1961,11645.2253305042,1795.43111574132,11431.9965610034,822.942603638938,11898.1272009923,1553.48201867943
