"","tree","year","dbh"
"1","VLF001",1923,NA
"2","VLF004",1923,NA
"3","VLF005",1923,NA
"4","VLF007",1923,NA
"5","VLF008",1923,NA
"6","VLF009",1923,NA
"7","VLF010",1923,NA
"8","VLF011",1923,NA
"9","VLF012",1923,NA
"10","VLF015",1923,NA
"11","VLF016",1923,NA
"12","VLF017",1923,NA
"13","VLF018",1923,NA
"14","VLF019",1923,NA
"15","VLF020",1923,NA
"16","VLF021",1923,NA
"17","VLF022",1923,NA
"18","VLF023",1923,NA
"19","VLF025",1923,NA
"20","VLF051",1923,NA
"21","VLF052",1923,NA
"22","VLF053",1923,NA
"23","VLF054",1923,NA
"24","VLF055",1923,NA
"25","VLF057",1923,NA
"26","VLF058",1923,NA
"27","VLF059",1923,NA
"28","VLF061",1923,NA
"29","VLF062",1923,NA
"30","VLF063",1923,NA
"31","VLF064",1923,NA
"32","VLF065",1923,NA
"33","VLF066",1923,NA
"34","VLF067",1923,NA
"35","VLF068",1923,NA
"36","VLF069",1923,NA
"37","VLF070",1923,NA
"38","VLF072",1923,NA
"39","VLF073",1923,NA
"40","VLF074",1923,NA
"41","VLF075",1923,NA
"42","VLF101",1923,NA
"43","VLF102",1923,NA
"44","VLF104",1923,NA
"45","VLF105",1923,NA
"46","VLF106",1923,NA
"47","VLF107",1923,NA
"48","VLF108",1923,NA
"49","VLF109",1923,NA
"50","VLF112",1923,NA
"51","VLF113",1923,NA
"52","VLF114",1923,NA
"53","VLF115",1923,NA
"54","VLF116",1923,NA
"55","VLF117",1923,NA
"56","VLF118",1923,NA
"57","VLF119",1923,NA
"58","VLF120",1923,NA
"59","VLF121",1923,NA
"60","VLF122",1923,NA
"61","VLF123",1923,NA
"62","VLF124",1923,NA
"63","VLF125",1923,NA
"64","VLF126",1923,NA
"65","VLF127",1923,NA
"66","VLF128",1923,NA
"67","VLF129",1923,NA
"68","VLF130",1923,NA
"69","VLF131",1923,NA
"70","VLF132",1923,NA
"71","VLF133",1923,NA
"72","VLF134",1923,NA
"73","VLF135",1923,NA
"74","VLF136",1923,NA
"75","VLF137",1923,NA
"76","VLF138",1923,NA
"77","VLF139",1923,NA
"78","VLF140",1923,NA
"79","VLF141",1923,NA
"80","VLF142",1923,NA
"81","VLF143",1923,NA
"82","VLF145",1923,NA
"83","VLF146",1923,NA
"84","VLF147",1923,NA
"85","VLF149",1923,NA
"86","VLF150",1923,NA
"87","VLF218",1923,NA
"88","VLF224",1923,NA
"89","VLF227",1923,NA
"90","VLF254",1923,NA
"91","VLF255",1923,NA
"92","VLF266",1923,NA
"93","VLF268",1923,NA
"94","VLF270",1923,NA
"95","VLF354",1923,NA
"96","VLF355",1923,NA
"97","VLF368",1923,NA
"98","VLF454",1923,NA
"99","VLF554",1923,NA
"100","X",1923,NA
"101","VLF001",1924,NA
"102","VLF004",1924,NA
"103","VLF005",1924,NA
"104","VLF007",1924,NA
"105","VLF008",1924,NA
"106","VLF009",1924,NA
"107","VLF010",1924,NA
"108","VLF011",1924,NA
"109","VLF012",1924,NA
"110","VLF015",1924,NA
"111","VLF016",1924,NA
"112","VLF017",1924,NA
"113","VLF018",1924,NA
"114","VLF019",1924,NA
"115","VLF020",1924,NA
"116","VLF021",1924,NA
"117","VLF022",1924,NA
"118","VLF023",1924,NA
"119","VLF025",1924,NA
"120","VLF051",1924,NA
"121","VLF052",1924,NA
"122","VLF053",1924,NA
"123","VLF054",1924,NA
"124","VLF055",1924,NA
"125","VLF057",1924,NA
"126","VLF058",1924,NA
"127","VLF059",1924,NA
"128","VLF061",1924,NA
"129","VLF062",1924,NA
"130","VLF063",1924,NA
"131","VLF064",1924,NA
"132","VLF065",1924,NA
"133","VLF066",1924,NA
"134","VLF067",1924,NA
"135","VLF068",1924,NA
"136","VLF069",1924,NA
"137","VLF070",1924,NA
"138","VLF072",1924,NA
"139","VLF073",1924,NA
"140","VLF074",1924,NA
