year,std
1929,1.079
1930,1.095
1931,1.159
1932,1.336
1933,1.168
1934,1.337
1935,1.03
1936,1.075
1937,1.001
1938,0.851
1939,0.499
1940,0.761
1941,1.094
1942,0.858
1943,1.089
1944,1.135
1945,1.016
1946,0.793
1947,1.04
1948,1.172
1949,1.236
1950,0.857
1951,0.644
1952,1.151
1953,0.815
1954,1
1955,0.857
1956,0.83
1957,1.017
1958,1.387
1959,1.152
1960,1.311
1961,1.348
1962,1.075
1963,0.566
1964,0.745
1965,1.249
1966,0.961
1967,0.497
1968,1.068
1969,1.126
1970,1.294
1971,0.386
1972,0.717
1973,0.93
1974,0.785
1975,1.299
1976,0.8
1977,0.704
1978,1.118
1979,1.262
1980,1.009
1981,0.949
1982,1.083
1983,1.278
1984,0.949
1985,1.29
1986,1.372
1987,1.074
1988,1.161
1989,0.548
1990,0.722
1991,0.917
1992,0.981
1993,0.943
1994,0.962
1995,1.555
1996,0.619
1997,1.222
1998,1.084
1999,1.459
2000,0.428
2001,0.669
2002,0.021
2003,0.579
2004,1.011
2005,1.312
2006,0.448
2007,1.606
2008,1.479
2009,1.325
2010,1.402
2011,0.506
