year,std,res,ars
1929,1.079,1.083,1.083
1930,1.095,1.099,1.099
1931,1.159,1.163,1.163
1932,1.336,1.34,1.34
1933,1.168,1.172,1.172
1934,1.337,1.341,1.341
1935,1.201,1.198,1.198
1936,1.048,1.051,1.051
1937,0.879,0.883,0.883
1938,0.832,0.837,0.837
1939,0.562,0.566,0.566
1940,0.793,0.797,0.797
1941,1.067,1.074,1.074
1942,0.757,0.762,0.762
1943,0.951,0.956,0.956
1944,1.02,1.026,1.026
1945,0.941,0.946,0.946
1946,0.844,0.849,0.849
1947,1.101,1.11,1.11
1948,1.207,1.214,1.214
1949,1.217,1.225,1.225
1950,1.041,1.049,1.049
1951,0.756,0.764,0.764
1952,1.113,1.12,1.12
1953,0.767,0.776,0.776
1954,0.943,0.95,0.95
1955,0.838,0.845,0.845
1956,0.813,0.819,0.819
1957,0.997,1.004,1.004
1958,1.309,1.315,1.315
1959,1.146,1.153,1.153
1960,1.34,1.346,1.346
1961,1.321,1.326,1.326
1962,1.117,1.121,1.121
1963,0.657,0.662,0.662
1964,0.782,0.787,0.787
1965,1.188,1.193,1.193
1966,0.959,0.964,0.964
1967,0.557,0.562,0.562
1968,1.033,1.038,1.038
1969,1.106,1.112,1.112
1970,1.255,1.26,1.26
1971,0.497,0.502,0.502
1972,0.793,0.798,0.798
1973,0.947,0.952,0.952
1974,0.822,0.827,0.827
1975,1.217,1.222,1.222
1976,0.88,0.886,0.886
1977,0.703,0.707,0.707
1978,1.053,1.059,1.059
1979,1.152,1.161,1.161
1980,0.963,0.969,0.969
1981,0.964,0.97,0.97
1982,1.085,1.091,1.091
1983,1.245,1.251,1.251
1984,0.992,0.998,0.998
1985,1.285,1.291,1.291
1986,1.345,1.344,1.344
1987,1.071,1.078,1.078
1988,1.215,1.221,1.221
1989,0.658,0.666,0.666
1990,0.741,0.748,0.748
1991,0.912,0.92,0.92
1992,0.938,0.944,0.944
1993,0.91,0.916,0.916
1994,0.94,0.946,0.946
1995,1.439,1.444,1.444
1996,0.657,0.664,0.664
1997,1.181,1.186,1.186
1998,1.05,1.055,1.055
1999,1.382,1.388,1.388
2000,0.528,0.534,0.534
2001,0.706,0.712,0.712
2002,0.019,0.029,0.029
2003,0.702,0.711,0.711
2004,1.008,1.01,1.01
2005,1.271,1.278,1.278
2006,0.468,0.476,0.476
2007,1.548,1.555,1.555
2008,1.422,1.43,1.43
2009,1.342,1.349,1.349
2010,1.442,1.45,1.45
2011,0.598,0.607,0.607
