Year,VLF101A,VLF101B,VLF102A,VLF102B,VLF104B,VLF105A,VLF105B,VLF106A,VLF106B,VLF107A,VLF107B,VLF108A,VLF108B,VLF109A,VLF109B,VLF112A,VLF112B,VLF113A,VLF113B,VLF114A,VLF114B,VLF115A,VLF115B,VLF116A,VLF116B,VLF117B,VLF118A,VLF118B,VLF119A,VLF119B,VLF120A,VLF120B,VLF121A,VLF121B,VLF122A,VLF122B,VLF123A,VLF123B,VLF123C,VLF124A,VLF124B,VLF125A,VLF125B,VLF126A,VLF126B,VLF127A,VLF127B,VLF128A,VLF128B,VLF129A,VLF129B,VLF130A,VLF130B,VLF131A,VLF131B,VLF132B,VLF133A,VLF133B,VLF134A,VLF134B,VLF135A,VLF135B,VLF136A,VLF136B,VLF137A,VLF137B,VLF138A,VLF138B,VLF139A,VLF139B,VLF140A,VLF140B,VLF141A,VLF141B,VLF142B,VLF143A,VLF143B,VLF145A,VLF145B,VLF146A,VLF146B,VLF147A,VLF147B,VLF149A,VLF149B,VLF150A,VLF150B,mean,count
1929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.529582579,3.059437442,2.794510011,1
1931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.952523257,2.021112938,1.986818098,1
1932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.328117273,2.868970367,2.59854382,1
1933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.156861237,2.846463418,2.501662328,1
1934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.281195521,0.150886889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.250692026,2.736532395,1.354826708,2
1935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.067659007,0.304387286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.585094791,0.341731487,0.182289857,0.16416203,NA,NA,0.256371524,0.586296986,NA,NA,NA,NA,NA,NA,NA,NA,1.039769267,NA,NA,NA,NA,NA,NA,1.730616005,2.237434499,0.681437522,6
1936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.260389962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.163108558,1.038818475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.747008248,0.344782918,0.279272654,0.213547928,NA,NA,0.151399859,0.361930505,NA,NA,NA,NA,NA,NA,NA,NA,1.635575554,NA,NA,NA,NA,NA,NA,1.282698354,1.977445397,0.704664868,7
1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.725723917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.220419093,1.022288746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77440345,0.285231072,0.252146778,0.130842964,NA,NA,0.140371071,0.31433373,0.30237666,0.403641683,NA,NA,NA,NA,NA,NA,1.576665675,NA,NA,NA,NA,NA,NA,0.815512917,1.546218024,0.607869699,8
1938,NA,NA,NA,NA,0.385399492,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.615281368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.174628836,0.897233546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56526715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.803710859,0.394275733,0.250503063,0.151886897,NA,NA,0.090973962,0.305251193,0.442286502,0.829234979,NA,NA,NA,0.407314333,NA,NA,2.373671576,NA,NA,NA,NA,NA,NA,1.506289165,1.786123891,0.70466662,11
