"","tree","year","dbh"
"1","VUF001",1923,NA
"2","VUF002",1923,NA
"3","VUF003",1923,NA
"4","VUF004",1923,NA
"5","VUF005",1923,NA
"6","VUF006",1923,NA
"7","VUF007",1923,NA
"8","VUF008",1923,NA
"9","VUF009",1923,NA
"10","VUF010",1923,NA
"11","VUF011",1923,NA
"12","VUF012",1923,NA
"13","VUF013",1923,NA
"14","VUF015",1923,NA
"15","VUF016",1923,NA
"16","VUF017",1923,NA
"17","VUF018",1923,NA
"18","VUF019",1923,NA
"19","VUF020",1923,NA
"20","VUF021",1923,NA
"21","VUF022",1923,NA
"22","VUF023",1923,NA
"23","VUF024",1923,NA
"24","VUF025",1923,NA
"25","VUF026",1923,NA
"26","VUF027",1923,NA
"27","VUF028",1923,NA
"28","VUF029",1923,NA
"29","VUF030",1923,NA
"30","VUF031",1923,NA
"31","VUF032",1923,NA
"32","VUF034",1923,NA
"33","VUF036",1923,NA
"34","VUF037",1923,NA
"35","VUF038",1923,NA
"36","VUF039",1923,NA
"37","VUF040",1923,NA
"38","VUF041",1923,NA
"39","VUF042",1923,NA
"40","VUF044",1923,NA
"41","VUF045",1923,NA
"42","VUF047",1923,NA
"43","VUF048",1923,NA
"44","VUF049",1923,NA
"45","VUF050",1923,NA
"46","VUF101",1923,NA
"47","VUF102",1923,NA
"48","VUF104",1923,NA
"49","VUF105",1923,NA
"50","VUF106",1923,NA
"51","VUF107",1923,NA
"52","VUF108",1923,NA
"53","VUF109",1923,NA
"54","VUF110",1923,NA
"55","VUF111",1923,NA
"56","VUF112",1923,NA
"57","VUF114",1923,NA
"58","VUF115",1923,NA
"59","VUF116",1923,NA
"60","VUF117",1923,NA
"61","VUF118",1923,NA
"62","VUF119",1923,NA
"63","VUF120",1923,NA
"64","VUF122",1923,NA
"65","VUF125",1923,NA
"66","VUF128",1923,NA
"67","VUF129",1923,NA
"68","VUF130",1923,NA
"69","VUF131",1923,NA
"70","VUF132",1923,NA
"71","VUF133",1923,15.168
"72","VUF135",1923,NA
"73","VUF136",1923,NA
"74","VUF137",1923,NA
"75","VUF139",1923,NA
"76","VUF140",1923,NA
"77","VUF142",1923,NA
"78","VUF143",1923,NA
"79","VUF144",1923,NA
"80","VUF145",1923,NA
"81","VUF146",1923,NA
"82","VUF147",1923,NA
"83","VUF148",1923,NA
"84","VUF149",1923,NA
"85","VUF150",1923,NA
"86","VUF151",1923,NA
"87","VUF208",1923,NA
"88","VUF209",1923,NA
"89","VUF219",1923,NA
"90","VUF222",1923,NA
"91","VUF229",1923,NA
"92","VUF235",1923,NA
"93","VUF242",1923,NA
"94","VUF308",1923,NA
"95","VUF322",1923,NA
"96","VUF335",1923,NA
"97","VUF435",1923,NA
"98","VUF508",1923,NA
"99","VUF001",1924,20.8095
"100","VUF002",1924,NA
"101","VUF003",1924,NA
"102","VUF004",1924,NA
"103","VUF005",1924,NA
"104","VUF006",1924,NA
"105","VUF007",1924,NA
"106","VUF008",1924,NA
"107","VUF009",1924,NA
"108","VUF010",1924,NA
"109","VUF011",1924,NA
"110","VUF012",1924,NA
"111","VUF013",1924,NA
"112","VUF015",1924,NA
"113","VUF016",1924,NA
"114","VUF017",1924,NA
"115","VUF018",1924,NA
"116","VUF019",1924,NA
"117","VUF020",1924,NA
"118","VUF021",1924,NA
"119","VUF022",1924,NA
"120","VUF023",1924,NA
"121","VUF024",1924,19.865
"122","VUF025",1924,NA
"123","VUF026",1924,NA
"124","VUF027",1924,NA
"125","VUF028",1924,NA
"126","VUF029",1924,NA
"127","VUF030",1924,NA
"128","VUF031",1924,NA
"129","VUF032",1924,NA
"130","VUF034",1924,NA
"131","VUF036",1924,NA
"132","VUF037",1924,NA
"133","VUF038",1924,NA
"134","VUF039",1924,23.419
"135","VUF040",1924,NA
"136","VUF041",1924,NA
"137","VUF042",1924,NA
"138","VUF044",1924,NA
"139","VUF045",1924,NA
"140","VUF047",1924,NA
"141","VUF048",1924,NA
"142","VUF049",1924,NA
"143","VUF050",1924,NA
"144","VUF101",1924,NA
"145","VUF102",1924,NA
"146","VUF104",1924,NA
"147","VUF105",1924,NA
"148","VUF106",1924,NA
"149","VUF107",1924,NA
"150","VUF108",1924,NA
"151","VUF109",1924,NA
"152","VUF110",1924,NA
"153","VUF111",1924,NA
"154","VUF112",1924,NA
"155","VUF114",1924,NA
"156","VUF115",1924,NA
"157","VUF116",1924,NA
"158","VUF117",1924,NA
"159","VUF118",1924,NA
"160","VUF119",1924,NA
"161","VUF120",1924,NA
"162","VUF122",1924,NA
"163","VUF125",1924,NA
"164","VUF128",1924,NA
"165","VUF129",1924,NA
"166","VUF130",1924,NA
"167","VUF131",1924,NA
"168","VUF132",1924,NA
"169","VUF133",1924,15.526
"170","VUF135",1924,NA
"171","VUF136",1924,NA
"172","VUF137",1924,NA
"173","VUF139",1924,NA
"174","VUF140",1924,NA
"175","VUF142",1924,NA
"176","VUF143",1924,NA
"177","VUF144",1924,NA
"178","VUF145",1924,NA
"179","VUF146",1924,NA
"180","VUF147",1924,NA
"181","VUF148",1924,NA
"182","VUF149",1924,NA
"183","VUF150",1924,NA
"184","VUF151",1924,NA
"185","VUF208",1924,NA
"186","VUF209",1924,NA
"187","VUF219",1924,NA
"188","VUF222",1924,NA
"189","VUF229",1924,NA
"190","VUF235",1924,NA
"191","VUF242",1924,NA
"192","VUF308",1924,NA
"193","VUF322",1924,NA
"194","VUF335",1924,NA
"195","VUF435",1924,NA
"196","VUF508",1924,NA
"197","VUF001",1925,21.0745
"198","VUF002",1925,NA
"199","VUF003",1925,NA
"200","VUF004",1925,NA
"201","VUF005",1925,NA
"202","VUF006",1925,NA
"203","VUF007",1925,NA
"204","VUF008",1925,NA
"205","VUF009",1925,NA
"206","VUF010",1925,NA
"207","VUF011",1925,NA
"208","VUF012",1925,NA
"209","VUF013",1925,NA
"210","VUF015",1925,NA
"211","VUF016",1925,NA
"212","VUF017",1925,NA
"213","VUF018",1925,NA
"214","VUF019",1925,NA
"215","VUF020",1925,NA
"216","VUF021",1925,NA
"217","VUF022",1925,NA
"218","VUF023",1925,NA
"219","VUF024",1925,20.026
"220","VUF025",1925,NA
"221","VUF026",1925,NA
"222","VUF027",1925,NA
"223","VUF028",1925,NA
"224","VUF029",1925,NA
"225","VUF030",1925,NA
"226","VUF031",1925,NA
"227","VUF032",1925,NA
"228","VUF034",1925,NA
"229","VUF036",1925,NA
"230","VUF037",1925,NA
"231","VUF038",1925,NA
"232","VUF039",1925,24.375
"233","VUF040",1925,NA
"234","VUF041",1925,NA
"235","VUF042",1925,NA
"236","VUF044",1925,NA
"237","VUF045",1925,NA
"238","VUF047",1925,NA
"239","VUF048",1925,NA
"240","VUF049",1925,NA
"241","VUF050",1925,NA
"242","VUF101",1925,NA
"243","VUF102",1925,NA
"244","VUF104",1925,NA
"245","VUF105",1925,NA
"246","VUF106",1925,NA
"247","VUF107",1925,NA
"248","VUF108",1925,NA
"249","VUF109",1925,NA
"250","VUF110",1925,NA
"251","VUF111",1925,NA
"252","VUF112",1925,NA
"253","VUF114",1925,NA
"254","VUF115",1925,NA
"255","VUF116",1925,NA
"256","VUF117",1925,NA
"257","VUF118",1925,NA
"258","VUF119",1925,NA
"259","VUF120",1925,NA
"260","VUF122",1925,NA
"261","VUF125",1925,NA
"262","VUF128",1925,NA
"263","VUF129",1925,NA
"264","VUF130",1925,NA
"265","VUF131",1925,NA
"266","VUF132",1925,NA
"267","VUF133",1925,15.757
"268","VUF135",1925,NA
"269","VUF136",1925,NA
"270","VUF137",1925,NA
"271","VUF139",1925,18.449
"272","VUF140",1925,NA
"273","VUF142",1925,NA
"274","VUF143",1925,NA
"275","VUF144",1925,NA
"276","VUF145",1925,NA
"277","VUF146",1925,NA
"278","VUF147",1925,NA
"279","VUF148",1925,NA
"280","VUF149",1925,NA
"281","VUF150",1925,NA
"282","VUF151",1925,NA
"283","VUF208",1925,NA
"284","VUF209",1925,NA
"285","VUF219",1925,NA
"286","VUF222",1925,NA
"287","VUF229",1925,NA
"288","VUF235",1925,NA
"289","VUF242",1925,NA
"290","VUF308",1925,NA
"291","VUF322",1925,NA
"292","VUF335",1925,NA
"293","VUF435",1925,NA
"294","VUF508",1925,NA
"295","VUF001",1926,21.331
"296","VUF002",1926,NA
"297","VUF003",1926,NA
"298","VUF004",1926,NA
"299","VUF005",1926,NA
"300","VUF006",1926,NA
"301","VUF007",1926,NA
"302","VUF008",1926,NA
"303","VUF009",1926,NA
"304","VUF010",1926,NA
"305","VUF011",1926,NA
"306","VUF012",1926,NA
"307","VUF013",1926,NA
"308","VUF015",1926,NA
"309","VUF016",1926,NA
"310","VUF017",1926,NA
"311","VUF018",1926,NA
"312","VUF019",1926,NA
"313","VUF020",1926,NA
"314","VUF021",1926,NA
"315","VUF022",1926,NA
"316","VUF023",1926,NA
"317","VUF024",1926,20.241
"318","VUF025",1926,NA
"319","VUF026",1926,NA
"320","VUF027",1926,NA
"321","VUF028",1926,NA
"322","VUF029",1926,NA
"323","VUF030",1926,NA
"324","VUF031",1926,NA
"325","VUF032",1926,NA
"326","VUF034",1926,NA
"327","VUF036",1926,NA
"328","VUF037",1926,NA
"329","VUF038",1926,NA
"330","VUF039",1926,24.765
"331","VUF040",1926,NA
"332","VUF041",1926,NA
"333","VUF042",1926,NA
"334","VUF044",1926,NA
"335","VUF045",1926,NA
"336","VUF047",1926,NA
"337","VUF048",1926,NA
"338","VUF049",1926,NA
"339","VUF050",1926,NA
"340","VUF101",1926,NA
"341","VUF102",1926,NA
"342","VUF104",1926,NA
"343","VUF105",1926,NA
"344","VUF106",1926,NA
"345","VUF107",1926,NA
"346","VUF108",1926,NA
"347","VUF109",1926,NA
"348","VUF110",1926,NA
"349","VUF111",1926,NA
"350","VUF112",1926,NA
"351","VUF114",1926,NA
"352","VUF115",1926,NA
"353","VUF116",1926,NA
"354","VUF117",1926,NA
"355","VUF118",1926,NA
"356","VUF119",1926,NA
"357","VUF120",1926,NA
"358","VUF122",1926,NA
"359","VUF125",1926,NA
"360","VUF128",1926,NA
"361","VUF129",1926,NA
"362","VUF130",1926,NA
"363","VUF131",1926,NA
"364","VUF132",1926,NA
"365","VUF133",1926,15.348
"366","VUF135",1926,NA
"367","VUF136",1926,NA
"368","VUF137",1926,NA
"369","VUF139",1926,18.559
"370","VUF140",1926,NA
"371","VUF142",1926,NA
"372","VUF143",1926,NA
"373","VUF144",1926,NA
"374","VUF145",1926,NA
"375","VUF146",1926,NA
"376","VUF147",1926,NA
"377","VUF148",1926,NA
"378","VUF149",1926,NA
"379","VUF150",1926,NA
"380","VUF151",1926,NA
"381","VUF208",1926,NA
"382","VUF209",1926,NA
"383","VUF219",1926,NA
"384","VUF222",1926,NA
"385","VUF229",1926,NA
"386","VUF235",1926,NA
