id,spp,plot,dbh
VUF001,PIEN,1,37.1
VUF002,PIEN,1,34.8
VUF003,PIEN,1,29.3
VUF004,PIEN,1,17.8
VUF005,PIEN,1,25
VUF006,PIEN,1,16.1
VUF007,PIEN,1,15.7
VUF008,PIEN,1,10.8
VUF009,PIEN,1,13.4
VUF010,PIEN,1,26.9
VUF011,PIEN,1,28.8
VUF012,PIEN,1,12.3
VUF013,PIEN,1,27.1
VUF014,PIEN,1,10.3
VUF015,PIEN,1,22.4
VUF016,PIEN,1,13.6
VUF017,PIEN,1,53.6
VUF018,PIEN,1,17.4
VUF019,PIEN,1,8.8
VUF020,PIEN,1,14.6
VUF021,PIEN,1,29
VUF022,PIEN,1,11.7
VUF023,PIEN,1,33
VUF024,PIEN,1,34.8
VUF025,PIEN,1,25.2
VUF026,PSME,1,17
VUF027,PIEN,1,25.3
VUF028,PIEN,1,11.1
VUF029,PIEN,1,19.7
VUF030,PIEN,1,21.6
VUF031,PIEN,1,13
VUF032,PIEN,1,25
VUF033,PIEN,1,10.5
VUF034,PIEN,1,17.3
VUF035,PIEN,1,7.7
VUF036,PIEN,1,13.2
VUF037,PIEN,1,16
VUF038,PIEN,1,34.5
VUF039,PIEN,1,44.3
VUF040,PIEN,1,46.3
VUF041,PIEN,1,27
VUF042,PIEN,1,40.2
VUF043,PIEN,1,21.6
VUF044,PIEN,1,20.9
VUF045,PIEN,1,24.9
VUF046,PIEN,1,11.3
VUF047,PIEN,1,7
VUF048,PIEN,1,19
VUF049,PIEN,1,27.8
VUF050,PIEN,1,12.2
VUF101,PIEN,2,33.9
VUF102,PIEN,2,18.6
VUF103,PIEN,2,9.1
VUF104,PIEN,2,15.2
VUF105,PIEN,2,13
VUF106,PIEN,2,13.2
VUF107,PIEN,2,23
VUF108,PIEN,2,22.5
VUF109,PIEN,2,35
VUF110,PIEN,2,26.1
VUF111,PIEN,2,25.8
VUF112,PIEN,2,22.4
VUF113,PIEN,2,11
VUF114,PIEN,2,14
VUF115,PIEN,2,15.7
VUF116,PIEN,2,16
VUF117,PSME,2,18.2
VUF118,PIEN,2,19.3
VUF119,PIEN,2,16.9
VUF120,PIEN,2,14.3
VUF121,POTR,2,19.8
VUF122,PIEN,2,10.7
VUF123,PIEN,2,8.1
VUF124,PIEN,2,8.8
VUF125,PIEN,2,7.3
VUF126,PIEN,2,10.1
VUF127,PIEN,2,35.6
VUF128,PIEN,2,33.8
VUF129,PIEN,2,21.1
VUF130,PIEN,2,15.5
VUF131,PSME,2,15.1
VUF132,PIEN,2,15.2
VUF133,PIEN,2,25.6
VUF134,PIEN,2,23.1
VUF135,PIEN,2,9.1
VUF136,PSME,2,10
VUF137,PIEN,2,35.5
VUF138,PIEN,2,10
VUF139,PSME,2,33.6
VUF140,PSME,2,31.7
VUF141,PSME,2,12.8
VUF142,PIEN,2,6.8
VUF143,PIEN,2,15.8
VUF144,PIEN,2,36.6
VUF145,PIEN,2,14.9
VUF146,PIEN,2,12.4
VUF147,PIEN,2,23.6
VUF148,PIEN,2,23.1
VUF149,PIEN,2,32
VUF150,PIEN,2,15.7
VUF151,PIEN,2,22.7
