year,std
1923,0.789
1924,0.813
1925,0.778
1926,0.872
1927,0.942
1928,0.829
1929,0.985
1930,0.936
1931,0.972
1932,0.958
1933,0.985
1934,1.099
1935,0.925
1936,1.113
1937,1.055
1938,1.071
1939,0.726
1940,1.097
1941,1.087
1942,0.973
1943,1.372
1944,1.282
1945,1.12
1946,0.993
1947,1.007
1948,0.827
1949,0.78
1950,0.929
1951,0.759
1952,1.192
1953,1.119
1954,0.682
1955,0.767
1956,0.685
1957,0.481
1958,0.616
1959,1.125
1960,0.966
1961,0.959
1962,0.966
1963,0.521
1964,0.633
1965,1.111
1966,1.171
1967,0.995
1968,1.209
1969,1.398
1970,1.327
1971,0.87
1972,1.157
1973,0.991
1974,0.726
1975,1.143
1976,0.806
1977,0.808
1978,1.053
1979,1.28
1980,1.057
1981,1.218
1982,1.402
1983,1.212
1984,0.903
1985,0.973
1986,0.592
1987,0.541
1988,1.088
1989,0.483
1990,0.651
1991,0.93
1992,1.023
1993,1.043
1994,0.929
1995,1.499
1996,0.54
1997,1.238
1998,1.183
1999,1.638
2000,0.301
2001,1.276
2002,0.403
2003,0.832
2004,1.16
2005,1.573
2006,0.504
2007,1.235
2008,0.952
2009,1.094
2010,0.823
2011,0.92
