year,std,res,ars
1924,0.812,0.874,0.868
1925,0.701,0.803,0.794
1926,0.864,1.008,0.983
1927,0.975,1.057,1.018
1928,0.793,0.832,0.833
1929,0.933,0.982,0.989
1930,0.917,0.99,0.958
1931,0.955,0.998,0.999
1932,0.952,0.98,0.975
1933,0.981,0.994,0.998
1934,1.119,1.121,1.12
1935,0.924,0.919,0.924
1936,1.113,1.088,1.118
1937,1.049,1.056,1.045
1938,1.078,1.069,1.099
1939,0.749,0.745,0.76
1940,1.114,1.107,1.131
1941,1.171,1.196,1.15
1942,0.968,0.939,0.973
1943,1.343,1.315,1.352
1944,1.206,1.187,1.189
1945,1.122,1.058,1.14
1946,0.989,0.941,0.987
1947,1.048,1.034,1.069
1948,0.883,0.858,0.86
1949,0.796,0.809,0.827
1950,0.903,0.946,0.919
1951,0.753,0.806,0.773
1952,1.196,1.216,1.202
1953,1.127,1.164,1.121
1954,0.689,0.658,0.707
1955,0.784,0.778,0.806
1956,0.645,0.706,0.646
1957,0.525,0.574,0.534
1958,0.669,0.748,0.673
1959,1.149,1.261,1.163
1960,0.967,1.015,0.951
1961,0.911,0.891,0.93
1962,0.948,0.937,0.931
1963,0.565,0.577,0.566
1964,0.669,0.703,0.689
1965,1.104,1.192,1.101
1966,1.234,1.288,1.227
1967,1.019,0.997,1.025
1968,1.238,1.193,1.246
1969,1.455,1.44,1.452
1970,1.383,1.322,1.383
1971,0.826,0.743,0.847
1972,1.129,1.068,1.153
1973,0.978,1,0.973
1974,0.764,0.751,0.788
1975,1.118,1.132,1.129
1976,0.797,0.834,0.795
1977,0.77,0.76,0.791
1978,0.983,1.022,0.981
1979,1.276,1.301,1.26
1980,1.094,1.063,1.066
1981,1.198,1.134,1.195
1982,1.417,1.366,1.386
1983,1.248,1.199,1.248
1984,0.898,0.824,0.913
1985,0.999,0.931,0.988
1986,0.633,0.637,0.623
1987,0.559,0.571,0.57
1988,1.063,1.149,1.069
1989,0.433,0.546,0.459
1990,0.594,0.631,0.646
1991,0.917,1.036,0.922
1992,0.995,1.078,1.006
1993,1.05,1.101,1.089
1994,0.88,0.901,0.908
1995,1.536,1.514,1.537
1996,0.517,0.551,0.54
1997,1.259,1.176,1.292
1998,1.156,1.24,1.149
1999,1.63,1.577,1.645
2000,0.285,0.276,0.317
2001,1.339,1.169,1.306
2002,0.378,0.525,0.386
2003,0.822,0.715,0.78
2004,1.118,1.239,1.11
2005,1.633,1.687,1.646
2006,0.536,0.562,0.596
2007,1.241,1.103,1.242
2008,0.988,1.061,0.981
2009,1.099,1.066,1.122
2010,0.808,0.815,0.817
2011,0.832,0.788,0.817
