Year,VUF001A,VUF001B,VUF002A,VUF002B,VUF003A,VUF003B,VUF004A,VUF004B,VUF005A,VUF005B,VUF006A,VUF006B,VUF007A,VUF007B,VUF008A,VUF008B,VUF009A,VUF009B,VUF010A,VUF010B,VUF011A,VUF011B,VUF012A,VUF012B,VUF013A,VUF013B,VUF015A,VUF015B,VUF016A,VUF016B,VUF017A,VUF017B,VUF018A,VUF018B,VUF019A,VUF019B,VUF020A,VUF020B,VUF021A,VUF021B,VUF022A,VUF023A,VUF023B,VUF024A,VUF024B,VUF025A,VUF025B,VUF026A,VUF026B,VUF027A,VUF028A,VUF028B,VUF029A,VUF029B,VUF030A,VUF030B,VUF031A,VUF031B,VUF032A,VUF032B,VUF034A,VUF034B,VUF036A,VUF036B,VUF037A,VUF037B,VUF038A,VUF038B,VUF039A,VUF039B,VUF040A,VUF041A,VUF041B,VUF042A,VUF042B,VUF044A,VUF044B,VUF045A,VUF045B,VUF047A,VUF047B,VUF048A,VUF048B,VUF049A,VUF049B,VUF050A,VUF050B,mean,count
1923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924,1.284650151,0.466476891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.687554092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.481995888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.730169256,3
1925,1.593533203,0.851928281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.779779178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.362469184,0.671078227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.051757615,3
1926,1.863200898,1.058949376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.230389006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.390315165,1.514706571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.611512203,3
1927,2.594483641,1.742817067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.518296095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.591320808,1.993981074,NA,NA,NA,0.54290506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.997300624,4
1928,2.231441928,1.738812804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.426382423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.485663358,2.680743594,NA,NA,NA,0.558750754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.020299144,4
1929,3.330507806,2.357816505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.555216252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.80713758,2.992087532,NA,NA,NA,0.93545767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.829703891,4
1930,3.838591155,2.855701619,0.576247757,0.034133968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.05172351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.429681334,4.00425973,NA,NA,NA,1.151062765,2.714543008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.628438316,5
1931,4.301243554,3.003287242,1.519205538,0.137201228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.050234337,1.876081987,NA,3.27571784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.465691218,5.605271565,3.358403839,NA,NA,1.762340465,4.003950252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.113219089,7
1932,5.279991667,3.999203838,2.545493947,0.298642108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.853640583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.067569001,1.521563132,NA,3.730974666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.866588016,6.476353609,5.262187224,NA,NA,1.802900232,4.05499418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.596930939,8
