ID,dbh
VUF101,33.9
VUF102,18.6
VUF103,9.1
VUF104,15.2
VUF105,13.0
VUF106,13.2
VUF107,23.0
VUF108,22.5
VUF109,35.0
VUF110,26.1
VUF111,25.8
VUF112,22.4
VUF113,11.0
VUF114,14.0
VUF115,15.7
VUF116,16.0
VUF117,18.2
VUF118,19.3
VUF119,16.9
VUF120,14.3
VUF121,19.8
VUF122,10.7
VUF123,8.1
VUF124,8.8
VUF125,7.3
VUF126,10.1
VUF127,35.6
VUF128,33.8
VUF129,21.1
VUF130,15.5
VUF131,15.1
VUF132,15.2
VUF133,25.6
VUF134,23.1
VUF135,9.1
VUF136,10.0
VUF137,35.5
VUF138,10.0
VUF139,33.6
VUF140,31.7
VUF141,12.8
VUF142,6.8
VUF143,15.8
VUF144,36.6
VUF145,14.9
VUF146,12.4
VUF147,23.6
VUF148,23.1
VUF149,32.0
VUF150,15.7
VUF151,22.7
